Type,Name,Serving,Unit,Protein,Carb,Fats,Calories,,,
Protein,Full Egg ,1.00,,6.50,0.50,5.00,73.00,بيض كامل,1,بيض مسلوق + بيض اومليت
Protein,Egg Whites ,1.00,,4.00,0.15,0.05,17.05,بياض بيض,1,بيض مسلوق + بيض اومليت
Protein,Cottage Cheese,100.00,gm,12.50,2.70,4.50,101.30,جبنة قريش,2,جبنة قريش
Protein,Cheddar Cheese ,100.00,gm,24.90,1.30,33.14,403.06,جبنة شيدر,3,جبنة شيدر
Protein,Light Cheddar Cheese ,100.00,gm,17.00,8.00,9.10,181.90,جبنة شيدر لايت,3,جبنة شيدر
Protein,Light Feta Cheese ,100.00,gm,12.00,5.00,7.00,131.00,جبنة فيتا لايت,4,جبنة فيتا
Protein,Parmesan cheese ,100.00,gm,37.86,3.41,27.34,411.14,جبنة البارميزان,5,جبنة البارميزان
Protein,Smoked Turkey,100.00,gm,22.00,0.50,3.50,121.50,صدور رومى مدخن,6,صدور رومى مدخن
Protein,Mozzarella Cheese,100.00,gm,22.20,2.17,22.35,298.63,جبنة موتزاريلا,7,جبنة موتزاريلا
Protein,Rummi Cheese ,100.00,gm,25.50,2.47,27.80,362.08,جبنة رومي,8,جبنة رومي
Protein,feta Cheese ,100.00,gm,14.00,4.10,21.00,261.40,جبنة فيتا,4,جبنة فيتا
Protein,Chicken Breast ,100.00,gm,31.00,0.00,3.60,156.40,صدور فراخ,9,صدور فراخ
Protein,Canned Tuna ,100.00,gm,25.50,0.00,1.00,111.00,تونة,10,تونة
Protein,Skimmed Milk ,100.00,gm,3.40,4.60,0.00,32.00,حيلب خالى الدسم,11,حليب
Protein,Almond milk ,100.00,gm,0.60,0.60,1.50,18.30,حليب لوز,12,حليب لوز
Protein,Milk Fullcream ,100.00,gm,3.30,4.60,3.35,61.75,حليب كامل الدسم,11,حيلب
Protein,Yogurt,100.00,gm,4.00,6.00,4.00,76.00,زبادى,13,زبادى
Protein,Light Greek Yogurt ,100.00,gm,9.00,3.50,0.20,51.80,زبادى يونانى لايت,14,زبادى يونانى
Protein,Light Yogurt ,100.00,gm,4.20,5.72,1.65,54.53,زبادى لايت,13,زبادى
Carb,Sweet Potato,100.00,gm,2.00,20.00,3.50,119.50,بطاطا حلوة,15,بطاطا حلوة
Carb,Potato ,100.00,gm,2.50,17.50,0.10,80.90,بطاطس,16,بطاطس
Carb,Rice Cakes ,100.00,gm,8.00,78.00,1.50,357.50,رايس كاك,17,رايس كاك
Carb,Tortilla Bread ,100.00,gm,8.00,50.00,3.50,281.50,عيش التورتيلا,18,عيش التورتيلا
Carb,Brown Toast ,100.00,gm,11.00,49.00,3.00,267.00,توست بني,19,عيش
Carb,White Bread ,100.00,gm,8.00,50.00,3.20,260.80,عيش ابيض,19,عيش
Carb,Oats ,100.00,gm,17.00,66.00,7.00,395.00,شوفان,20,شوفان
Carb,Corn Flakes,100.00,gm,6.60,87.00,0.50,378.90,كورن فليكس,21,كورن فليكس
Carb,Beans (Fool),100.00,gm,8.00,18.00,1.00,113.00,فول سادة,22,فول
Carb,Lentils ,100.00,gm,9.00,21.00,0.30,122.70,عدس,23,عدس
Carb,Houmous,100.00,gm,5.00,20.00,8.60,177.40,حمص,24,حمص
Carb,Green Beans ,100.00,gm,1.90,7.60,3.00,65.00,فاصوليا خضراء,25,فاصوليا خضراء
Carb,Strawberry Jam ,100.00,gm,0.00,60.00,0.00,240.00,مربى فرولة,26,مربى
Carb,Honey ,100.00,gm,0.00,82.00,0.00,328.00,عسل,27,عسل
Carb,Cinnamon ,100.00,gm,3.90,55.00,3.20,264.40,قرفة,28,قرفة
Carb,Dark Choclate ,100.00,gm,6.00,50.00,32.00,512.00,شوكولاتة غامقة,29,شوكولاتة غامقة
Carb,Sugar ,100.00,gm,0.00,97.00,0.00,388.00,سكر,72,سكر
Carb,Banana ,100.00,gm,1.00,23.00,0.30,98.70,موز,30,موز
Carb,Mango ,100.00,gm,0.50,17.00,0.27,72.43,مانجو,31,مانجو
Carb,Mango Juice  ,100.00,gm,1.00,132.00,0.60,537.40,عصير مانجو,31,مانجو
Carb,Orange ,100.00,gm,1.00,12.00,0.12,53.08,برتقال,32,برتقال
Carb,Orange Juice,100.00,gm,0.75,10.40,0.20,46.40,عصير برتقال,32,برتقال
